year,zip_code,population,population_male,population_female,population_age_below_24,population_age_between_25_44,population_age_above_45,crimes_count,victims_count,victims_count_male,victims_count_female,victims_count_age_below_24,victims_count_age_between_25_44,victims_count_age_above_45,victims_count_white,victims_count_black,victims_count_hispanic,victims_count_other_races,unemployment_rate,unemployment_rate_male,unemployment_rate_female,unemployment_rate_age_below_24,unemployment_rate_age_between_25_44,unemployment_rate_age_above_45,unemployment_rate_white,unemployment_rate_black,unemployment_rate_hispanic,unemployment_rate_other_races,population_white,population_black,population_hispanic,population_other_races,cars_count,vans_count,campers_or_rvs_count,tents_count,homeless_individuals_count,median_gross_rent,median_income,median_income_male,median_income_female,median_income_age_below_24,median_income_age_between_25_44,median_income_age_above_45,median_income_white,median_income_black,median_income_hispanic,median_income_other_races,below_poverty_level_individuals_count,below_poverty_level_individuals_count_male,below_poverty_level_individuals_count_female,below_poverty_level_individuals_count_age_below_24,below_poverty_level_individuals_count_age_between_25_44,below_poverty_level_individuals_count_age_above_45,below_poverty_level_individuals_count_white,below_poverty_level_individuals_count_black,below_poverty_level_individuals_count_hispanic,below_poverty_level_individuals_count_other_races,housing_units_count,owner_occupied_housing_units_count,renter_occupied_housing_units_count
2010,90064,,,,,,,1357.0,1128.0,681.0,572.0,404.0,514.0,439.0,687.0,88.0,197.0,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90065,,,,,,,1820.0,1432.0,880.0,716.0,709.0,638.0,473.0,395.0,60.0,935.0,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90066,,,,,,,1634.0,1353.0,829.0,663.0,506.0,641.0,487.0,841.0,81.0,323.0,252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90067,,,,,,,127.0,113.0,73.0,48.0,35.0,40.0,52.0,81.0,13.0,8.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90068,,,,,,,1190.0,1016.0,601.0,476.0,325.0,534.0,331.0,745.0,85.0,96.0,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90069,,,,,,,293.0,264.0,171.0,102.0,62.0,140.0,91.0,194.0,22.0,23.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90071,,,,,,,186.0,173.0,108.0,76.0,43.0,105.0,38.0,68.0,28.0,59.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90073,,,,,,,40.0,36.0,15.0,22.0,9.0,12.0,19.0,25.0,1.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90077,,,,,,,156.0,147.0,82.0,71.0,18.0,47.0,91.0,110.0,2.0,12.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90079,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
