year,zip_code,population,crimes_count,victims_count,unemployment_rate,cars_count,vans_count,campers_or_rvs_count,tents_count,homeless_individuals_count,median_gross_rent,median_income,below_poverty_level_individuals_count,housing_units_count,owner_occupied_housing_units_count,renter_occupied_housing_units_count,gender_majority,age_majority,ethnicity_majority
2012,90402,12351.0,77.0,75.0,5.6,4.0,2.0,1.0,9.0,1.0,1812.0,145153.0,477.0,5544.0,3866.0,1678.0,female,age_above_45,white
2012,90404,20739.0,6.0,6.0,11.3,15.0,22.0,7.0,2.0,231.0,1393.0,57500.0,3266.0,9678.0,2074.0,7604.0,female,age_above_45,white
2012,90405,28114.0,29.0,25.0,10.5,27.0,28.0,16.0,4.0,269.0,1456.0,75690.0,3481.0,14097.0,4630.0,9467.0,female,age_above_45,white
2012,90501,42363.0,615.0,474.0,10.8,6.0,17.0,22.0,3.0,5.0,1170.0,57040.0,6630.0,14312.0,6548.0,7764.0,female,age_below_24,other_races
2012,90502,16845.0,177.0,114.0,12.4,4.0,11.0,21.0,3.0,6.0,1162.0,62869.0,1602.0,5556.0,3809.0,1747.0,female,age_above_45,other_races
2012,90504,31650.0,3.0,2.0,10.6,1.0,4.0,3.0,6.0,1.0,1335.0,71715.0,1922.0,11400.0,7065.0,4335.0,male,age_above_45,other_races
2012,90710,27486.0,885.0,724.0,9.9,7.0,9.0,31.0,1.0,7.0,1050.0,55148.0,3466.0,9039.0,5378.0,3661.0,female,age_above_45,white
2012,90717,21347.0,65.0,52.0,7.5,1.0,10.0,23.0,1.0,3.0,1182.0,61286.0,2485.0,8319.0,3671.0,4648.0,female,age_above_45,white
2012,90731,59270.0,3657.0,3018.0,12.0,12.0,29.0,45.0,1.0,31.0,1107.0,49992.0,11184.0,22009.0,6911.0,15098.0,female,age_above_45,white
2012,90732,19895.0,601.0,504.0,7.9,1.0,6.0,26.0,4.0,3.0,1516.0,85990.0,1417.0,8347.0,5930.0,2417.0,female,age_above_45,white
2012,90744,57441.0,2819.0,2157.0,14.9,7.0,16.0,61.0,40.0,31.0,982.0,43364.0,14925.0,13934.0,5657.0,8277.0,male,age_below_24,hispanic
2012,90810,36935.0,92.0,2.0,14.7,6.0,6.0,22.0,6.0,4.0,985.0,48952.0,7166.0,9425.0,5082.0,4343.0,female,age_below_24,hispanic
2012,90813,58719.0,1.0,1.0,14.9,64.0,19.0,194.0,0.0,506.0,936.0,30833.0,21168.0,16304.0,2511.0,13793.0,male,age_below_24,hispanic
2012,91030,25603.0,4.0,3.0,6.5,2.0,1.0,1.0,4.0,4.0,1399.0,84185.0,1939.0,10354.0,4894.0,5460.0,female,age_above_45,white
2012,91040,19903.0,697.0,576.0,11.0,4.0,5.0,5.0,14.0,95.0,1203.0,72416.0,1752.0,7044.0,5026.0,2018.0,male,age_above_45,white
2012,91042,28266.0,982.0,838.0,8.8,3.0,7.0,16.0,12.0,87.0,1153.0,59358.0,4629.0,9962.0,5359.0,4603.0,female,age_above_45,white
2012,91105,10891.0,1.0,1.0,10.8,5.0,10.0,2.0,2.0,6.0,1805.0,115114.0,710.0,5107.0,3562.0,1545.0,female,age_above_45,white
2012,91201,23671.0,3.0,1.0,11.1,5.0,5.0,2.0,4.0,55.0,1301.0,47012.0,3393.0,8309.0,2752.0,5557.0,female,age_above_45,white
2012,91214,31479.0,17.0,10.0,7.0,7.0,2.0,2.0,1.0,6.0,1581.0,87072.0,1798.0,10493.0,7819.0,2674.0,female,age_above_45,white
2012,91302,24910.0,2.0,2.0,7.0,3.0,1.0,1.0,1.0,7.0,1882.0,128208.0,1508.0,8957.0,6925.0,2032.0,female,age_above_45,white
2012,91303,26613.0,2011.0,1767.0,9.0,4.0,3.0,24.0,3.0,31.0,1210.0,48676.0,4696.0,8664.0,2288.0,6376.0,male,age_below_24,hispanic
2012,91304,52907.0,1641.0,1473.0,7.9,5.0,11.0,20.0,1.0,15.0,1185.0,58198.0,9125.0,16794.0,9217.0,7577.0,female,age_above_45,other_races
2012,91306,47048.0,1910.0,1692.0,9.7,2.0,6.0,8.0,3.0,7.0,1143.0,61312.0,7164.0,14035.0,8462.0,5573.0,male,age_above_45,other_races
2012,91307,24983.0,755.0,698.0,8.9,2.0,1.0,18.0,1.0,7.0,2508.0,92652.0,1337.0,8402.0,7174.0,1228.0,male,age_above_45,white
2012,91311,37945.0,1711.0,1464.0,9.8,1.0,6.0,13.0,1.0,1.0,1446.0,80283.0,2485.0,13406.0,9405.0,4001.0,female,age_above_45,white
2012,91316,26368.0,1205.0,1046.0,10.0,6.0,2.0,5.0,1.0,13.0,1425.0,59488.0,2855.0,12039.0,6417.0,5622.0,female,age_above_45,white
2012,91324,26742.0,1706.0,1352.0,13.1,10.0,7.0,28.0,5.0,50.0,1321.0,62958.0,4124.0,8852.0,4746.0,4106.0,female,age_below_24,white
2012,91325,33268.0,1366.0,1142.0,9.0,1.0,2.0,15.0,5.0,8.0,1258.0,59003.0,5135.0,11893.0,5866.0,6027.0,female,age_above_45,white
2012,91326,35691.0,874.0,777.0,6.9,1.0,1.0,4.0,2.0,1.0,1677.0,99041.0,2331.0,11996.0,9047.0,2949.0,female,age_above_45,white
2012,91330,1470.0,61.0,44.0,35.5,3.0,1.0,1.0,0.0,30.0,0.0,4.0,13.0,13.0,0.0,13.0,female,age_below_24,other_races
2012,91331,96965.0,3948.0,3120.0,12.9,1.0,32.0,2.0,12.0,14.0,1231.0,50794.0,19502.0,21402.0,12570.0,8832.0,male,age_below_24,hispanic
2012,91335,74641.0,3165.0,2504.0,10.4,3.0,4.0,1.0,1.0,2.0,1179.0,53107.0,10807.0,22325.0,11023.0,11302.0,female,age_above_45,white
2012,91340,35207.0,350.0,293.0,12.2,3.0,4.0,5.0,5.0,10.0,1198.0,53742.0,6488.0,8453.0,4773.0,3680.0,female,age_below_24,hispanic
2012,91342,89001.0,3464.0,2870.0,11.2,1.0,14.0,9.0,7.0,46.0,1300.0,60863.0,13578.0,23208.0,16179.0,7029.0,female,age_below_24,hispanic
2012,91343,60759.0,3001.0,2483.0,11.7,2.0,1.0,5.0,3.0,45.0,1124.0,54418.0,12641.0,16799.0,9208.0,7591.0,male,age_below_24,hispanic
2012,91344,53014.0,2204.0,1914.0,10.5,1.0,16.0,31.0,4.0,8.0,1524.0,77490.0,4766.0,16929.0,12604.0,4325.0,female,age_above_45,white
2012,91345,18654.0,815.0,669.0,8.1,2.0,5.0,2.0,1.0,8.0,1289.0,62426.0,1563.0,5313.0,3764.0,1549.0,female,age_above_45,hispanic
2012,91352,45494.0,2290.0,1768.0,13.4,55.0,44.0,54.0,3.0,87.0,1130.0,48282.0,8624.0,12107.0,6320.0,5787.0,female,age_below_24,hispanic
2012,91356,29590.0,1478.0,1212.0,9.5,1.0,7.0,6.0,2.0,23.0,1205.0,66951.0,4271.0,11294.0,6513.0,4781.0,female,age_above_45,white
2012,91364,25947.0,1147.0,1043.0,8.3,4.0,1.0,8.0,1.0,2.0,1741.0,94495.0,1815.0,10123.0,7583.0,2540.0,female,age_above_45,white
2012,91367,40323.0,1911.0,1729.0,6.7,1.0,5.0,3.0,2.0,14.0,1710.0,77655.0,3189.0,16712.0,9788.0,6924.0,female,age_above_45,white
2012,91401,40085.0,2092.0,1763.0,11.0,4.0,1.0,12.0,2.0,42.0,1125.0,46733.0,8226.0,14567.0,5108.0,9459.0,male,age_above_45,white
2012,91402,70749.0,3236.0,2592.0,13.8,8.0,1.0,1.0,11.0,22.0,1091.0,39170.0,19847.0,18277.0,6375.0,11902.0,female,age_below_24,hispanic
2012,91403,23377.0,1093.0,954.0,6.6,1.0,2.0,2.0,2.0,38.0,1500.0,73438.0,2016.0,11253.0,5263.0,5990.0,female,age_above_45,white
2012,91405,54185.0,2735.0,2300.0,12.7,1.0,5.0,5.0,6.0,40.0,1053.0,37983.0,14523.0,16716.0,4627.0,12089.0,male,age_below_24,hispanic
2012,91406,53129.0,2610.0,2132.0,9.8,5.0,7.0,10.0,2.0,26.0,1130.0,49509.0,9823.0,17506.0,7807.0,9699.0,male,age_below_24,hispanic
2012,91411,23708.0,1339.0,1119.0,12.3,6.0,1.0,8.0,1.0,25.0,1155.0,43750.0,4253.0,9266.0,2410.0,6856.0,male,age_between_25_44,white
2012,91423,30946.0,1731.0,1491.0,10.6,1.0,2.0,4.0,2.0,39.0,1497.0,73030.0,2766.0,14559.0,6012.0,8547.0,female,age_between_25_44,white
2012,91436,14508.0,563.0,440.0,9.0,2.0,2.0,2.0,12.0,92.0,2203.0,128380.0,736.0,5632.0,4609.0,1023.0,female,age_above_45,white
2012,91504,25527.0,68.0,59.0,6.7,3.0,6.0,16.0,2.0,20.0,1358.0,72972.0,1767.0,9286.0,5032.0,4254.0,female,age_above_45,white
2012,91505,30563.0,90.0,71.0,9.4,13.0,13.0,31.0,1.0,24.0,1418.0,75252.0,2265.0,12711.0,6288.0,6423.0,female,age_above_45,white
2012,91601,37090.0,2542.0,2157.0,12.6,17.0,18.0,15.0,1.0,46.0,1228.0,48889.0,6463.0,15859.0,2756.0,13103.0,male,age_between_25_44,white
2012,91602,17115.0,820.0,714.0,12.7,12.0,10.0,10.0,1.0,32.0,1345.0,66701.0,1561.0,8902.0,3076.0,5826.0,female,age_between_25_44,white
2012,91604,28323.0,1604.0,1399.0,11.4,1.0,1.0,11.0,1.0,8.0,1634.0,87020.0,2081.0,13894.0,6730.0,7164.0,female,age_above_45,white
2012,91605,55313.0,2742.0,2212.0,13.0,46.0,46.0,50.0,2.0,80.0,1044.0,45045.0,11027.0,15264.0,6164.0,9100.0,female,age_below_24,hispanic
2012,91606,46880.0,2216.0,1690.0,14.6,10.0,16.0,42.0,2.0,41.0,1073.0,42678.0,9168.0,15526.0,5224.0,10302.0,male,age_above_45,white
2012,91607,28821.0,1388.0,1222.0,13.4,6.0,1.0,7.0,2.0,10.0,1268.0,60586.0,3484.0,12929.0,4438.0,8491.0,female,age_above_45,white
2013,90001,54760.0,746.0,615.0,12.3,9.0,7.0,12.0,6.0,111.0,962.0,35097.0,17496.0,12945.0,4545.0,8400.0,female,age_below_24,hispanic
2013,90002,49475.0,2322.0,2041.0,13.6,11.0,4.0,13.0,6.0,121.0,952.0,31258.0,17116.0,11670.0,4185.0,7485.0,female,age_below_24,hispanic
