quarter,zip_code,tract
2010_03,90037,06037231210
2010_03,90037,06037231220
2010_03,90037,06037231300
2010_03,90037,06037231600
2010_03,90037,06037231710
2010_03,90037,06037231720
2010_03,90037,06037231800
2010_03,90037,06037231900
2010_03,90037,06037232110
2010_03,90037,06037232120
2010_03,90037,06037232200
2010_03,90037,06037232300
2010_03,90037,06037232600
2010_03,90037,06037232700
2010_03,90037,06037232800
2010_03,90038,06037190800
2010_03,90038,06037190901
2010_03,90038,06037190902
2010_03,90038,06037191710
2010_03,90038,06037191720
2010_03,90038,06037191810
2010_03,90038,06037191820
2010_03,90038,06037191900
2010_03,90038,06037192000
2010_03,90038,06037192300
2010_03,90038,06037192410
2010_03,90038,06037192420
2010_03,90038,06037700100
2010_03,90039,06037187100
2010_03,90039,06037187200
2010_03,90039,06037187300
2010_03,90039,06037188100
2010_03,90039,06037188200
2010_03,90039,06037188300
2010_03,90039,06037195100
2010_03,90039,06037195400
2010_03,90039,06037195500
2010_03,90039,06037197410
2010_03,90039,06037197420
2010_03,90039,06037302400
2010_03,90041,06037181000
2010_03,90041,06037181300
2010_03,90041,06037181400
2010_03,90041,06037181500
2010_03,90041,06037181600
2010_03,90041,06037183210
2010_03,90041,06037183300
2010_03,90041,06037183400
2010_03,90041,06037186100
2010_03,90041,06037186200
2010_03,90042,06037181500
2010_03,90042,06037181600
2010_03,90042,06037183101
2010_03,90042,06037183102
2010_03,90042,06037183210
2010_03,90042,06037183220
2010_03,90042,06037183300
2010_03,90042,06037183400
2010_03,90042,06037183510
2010_03,90042,06037183520
2010_03,90042,06037183610
2010_03,90042,06037183620
2010_03,90042,06037183700
2010_03,90042,06037183810
2010_03,90042,06037183820
2010_03,90042,06037185100
2010_03,90042,06037186200
2010_03,90042,06037199300
2010_03,90042,06037201302
2010_03,90042,06037463800
2010_03,90043,06037234500
2010_03,90043,06037234600
2010_03,90043,06037234700
2010_03,90043,06037234800
2010_03,90043,06037234900
2010_03,90043,06037235100
2010_03,90043,06037235201
2010_03,90043,06037235202
2010_03,90043,06037600911
2010_03,90043,06037703100
2010_03,90043,06037703200
2010_03,90044,06037232600
2010_03,90044,06037232700
2010_03,90044,06037237100
2010_03,90044,06037237200
2010_03,90044,06037237400
2010_03,90044,06037237500
2010_03,90044,06037237600
2010_03,90044,06037237710
2010_03,90044,06037237720
2010_03,90044,06037237800
2010_03,90044,06037238000
2010_03,90044,06037238200
2010_03,90044,06037238310
2010_03,90044,06037238320
2010_03,90044,06037238400
2010_03,90044,06037240300
2010_03,90044,06037240400
2010_03,90044,06037241200
2010_03,90044,06037241300
2010_03,90044,06037291110
2010_03,90044,06037600100
2010_03,90044,06037600201
2010_03,90044,06037600202
2010_03,90044,06037600301
2010_03,90044,06037600302
2010_03,90044,06037602800
2010_03,90045,06037276000
2010_03,90045,06037276100
2010_03,90045,06037276400
2010_03,90045,06037276500
2010_03,90045,06037276601
2010_03,90045,06037276602
2010_03,90045,06037277000
2010_03,90045,06037277100
2010_03,90045,06037277200
2010_03,90045,06037277400
2010_03,90045,06037278000
2010_03,90045,06037601302
2010_03,90045,06037601402
2010_03,90045,06037602200
2010_03,90045,06037703001
