year,zip_code,below_poverty_level_individuals_count,below_poverty_level_individuals_count_male,below_poverty_level_individuals_count_female,below_poverty_level_individuals_count_age_below_24,below_poverty_level_individuals_count_age_between_25_44,below_poverty_level_individuals_count_age_above_45,below_poverty_level_individuals_count_white,below_poverty_level_individuals_count_black,below_poverty_level_individuals_count_hispanic,below_poverty_level_individuals_count_other_races
2013,90004,15350.0,7134.0,8216.0,4831.0,9558.0,961.0,5002.0,790.0,10267.0,9558.0
2013,90005,10496.0,4904.0,5592.0,3490.0,5812.0,1194.0,2296.0,392.0,7038.0,7808.0
2013,90006,18666.0,8887.0,9779.0,7292.0,9939.0,1435.0,4998.0,685.0,15293.0,12983.0
2013,90007,17031.0,8166.0,8865.0,3389.0,12949.0,693.0,5420.0,1565.0,8240.0,10046.0
2013,90008,8955.0,3327.0,5628.0,3251.0,4883.0,821.0,1396.0,5389.0,3169.0,2170.0
2013,90010,746.0,285.0,461.0,51.0,505.0,190.0,54.0,16.0,118.0,676.0
2013,90011,43450.0,20153.0,23297.0,19623.0,22736.0,1091.0,9640.0,3267.0,39598.0,30543.0
2013,90012,7566.0,3165.0,4401.0,1578.0,4243.0,1745.0,1042.0,244.0,2023.0,6280.0
2013,90013,4809.0,2913.0,1896.0,67.0,4238.0,504.0,1206.0,2081.0,1202.0,1522.0
2013,90014,2713.0,1627.0,1086.0,48.0,2073.0,592.0,817.0,1064.0,553.0,832.0
2013,90015,5908.0,2793.0,3115.0,1618.0,3666.0,624.0,1498.0,382.0,4439.0,4028.0
2013,90016,10516.0,4637.0,5879.0,3443.0,6222.0,851.0,2736.0,4452.0,5407.0,3328.0
2013,90017,11957.0,6123.0,5834.0,3484.0,7669.0,804.0,2730.0,685.0,9356.0,8542.0
2013,90018,13527.0,5637.0,7890.0,5033.0,7273.0,1221.0,2015.0,4770.0,7829.0,6742.0
2013,90019,14873.0,6975.0,7898.0,4953.0,8748.0,1172.0,6433.0,2829.0,9898.0,5611.0
2013,90020,7416.0,3053.0,4363.0,2146.0,4666.0,604.0,1996.0,244.0,3476.0,5176.0
2013,90021,1281.0,1013.0,268.0,34.0,1132.0,115.0,456.0,458.0,505.0,367.0
2013,90023,14755.0,6948.0,7807.0,5994.0,7757.0,1004.0,5336.0,122.0,14303.0,9297.0
