year,zip_code,unemployment_rate,unemployment_rate_male,unemployment_rate_female,unemployment_rate_age_below_24,unemployment_rate_age_between_25_44,unemployment_rate_age_above_45,unemployment_rate_white,unemployment_rate_black,unemployment_rate_hispanic,unemployment_rate_other_races
2011,91030,6.4,6.9,4.7,64.3,6.5,17.0,8.3,0.0,8.6,257.0
2011,91040,8.2,9.2,6.7,20.2,8.6,54.8,9.3,7.9,5.2,250.89999999999998
2011,91042,7.9,8.8,5.5,38.5,7.5,54.7,8.2,1.2,12.0,155.89999999999998
2011,91105,9.7,12.8,8.8,17.6,12.1,20.7,8.6,25.5,6.7,173.5
2011,91201,9.4,12.0,6.8,31.3,8.2,17.8,9.7,25.6,5.8,259.9
2011,91204,11.6,13.2,9.8,31.299999999999997,10.6,29.7,13.8,19.7,5.8,146.1
2011,91205,12.7,12.9,12.2,51.5,11.0,29.4,15.2,20.8,11.1,152.7
2011,91206,10.0,11.7,8.2,38.6,12.1,18.599999999999998,11.9,10.4,4.6,239.3
2011,91214,6.7,7.2,5.9,33.7,7.1,9.9,7.3,32.3,8.6,138.6
2011,91302,6.9,4.9,8.9,41.1,8.1,18.8,8.1,0.0,10.7,139.89999999999998
2011,91303,8.0,6.0,7.3,39.7,5.8,34.2,10.1,4.9,8.0,177.9
2011,91304,7.6,6.8,6.6,43.400000000000006,6.2,31.900000000000002,8.2,22.9,6.8,273.20000000000005
2011,91306,9.4,9.5,7.7,42.5,7.4,36.6,10.6,13.2,8.4,264.90000000000003
2011,91307,8.2,9.6,6.8,31.8,9.5,20.5,7.8,7.6,9.5,201.7
2011,91311,8.2,10.5,5.3,33.2,6.6,29.900000000000002,9.2,7.4,8.1,308.70000000000005
2011,91316,6.9,5.3,8.7,12.299999999999999,6.0,30.099999999999998,7.5,7.9,1.8,244.1
2011,91321,9.2,8.2,9.8,34.7,8.9,16.9,9.8,6.3,10.7,193.70000000000002
2011,91324,11.3,11.5,8.4,45.2,9.4,48.3,13.6,9.5,14.9,281.3
2011,91325,8.5,7.8,6.2,56.1,7.6,32.699999999999996,8.6,4.3,10.4,169.20000000000002
2011,91326,6.4,6.6,4.6,30.3,4.2,36.1,6.9,8.4,7.8,243.5
2011,91330,25.3,0.0,30.8,46.599999999999994,39.3,,0.0,17.9,54.4,218.7
2011,91331,11.1,9.5,10.4,49.8,8.8,41.5,10.7,16.1,10.8,212.3
2011,91335,9.5,8.0,9.2,47.9,7.3,47.0,10.8,6.5,7.7,212.40000000000003
2011,91340,11.9,12.3,9.8,52.5,9.2,18.0,9.6,12.3,12.1,193.3
2011,91342,10.3,10.4,8.5,38.5,8.5,37.400000000000006,11.1,8.8,10.4,249.40000000000003
2011,91343,9.9,7.9,10.5,42.1,8.8,47.6,12.5,11.1,9.9,270.70000000000005
2011,91344,10.1,10.2,7.9,54.9,8.2,24.3,10.0,10.8,10.5,261.5
2011,91345,8.5,7.6,8.4,43.4,8.3,21.5,11.8,13.7,9.3,209.7
2011,91352,10.7,9.0,10.9,40.7,10.2,36.4,12.8,19.4,11.1,150.6
2011,91356,8.6,8.6,9.1,45.0,8.6,24.5,8.4,8.0,6.1,272.4
2011,91364,8.6,8.4,7.3,66.5,7.7,22.299999999999997,9.3,16.3,10.5,244.10000000000002
2011,91367,6.2,6.7,4.7,24.1,4.4,22.200000000000003,6.5,4.2,6.4,274.8
2011,91371,,,,,,,,,,
2011,91401,10.0,9.6,9.3,43.8,8.5,34.0,9.3,21.4,9.2,173.0
2011,91402,12.5,9.3,13.6,55.8,9.4,55.5,13.9,16.4,12.1,216.6
2011,91403,5.6,5.7,5.4,2.4,4.5,28.7,5.0,4.8,5.0,300.40000000000003
2011,91405,11.9,10.3,12.8,44.0,11.2,69.1,11.7,19.9,12.1,226.0
2011,91406,8.6,8.3,8.0,30.4,8.0,35.1,10.2,8.8,10.2,221.8
2011,91411,9.8,6.8,12.2,29.1,8.6,76.5,11.8,9.8,9.0,299.5
