year,zip_code,median_income,median_income_male,median_income_female,median_income_age_below_24,median_income_age_between_25_44,median_income_age_above_45,median_income_white,median_income_black,median_income_hispanic,median_income_other_races
2011,90280,41990.0,31127.0,25747.5,35764.0,41051.0,39110.5,44870.0,25380.0,41529.0,52524.0
2011,90290,128750.0,88238.75,71762.75,208566.0,175469.0,111977.0,128885.0,,101618.0,141012.5
2011,90291,74046.0,73079.25,65920.5,60545.5,86336.0,56779.5,80726.5,44825.0,43903.0,54339.6
2011,90292,100361.0,105488.25,78857.0,99252.0,106172.0,95952.0,101142.5,122896.0,74635.0,65015.5
2011,90293,92664.0,90571.25,75013.25,79847.0,103580.0,79394.5,95357.5,73699.0,103835.0,101106.0
2011,90301,38115.0,32950.25,26915.25,31255.5,36930.0,34102.5,35188.0,36796.0,39038.0,46903.2
2011,90302,43835.0,46588.75,36790.0,35052.5,41885.0,41098.5,48296.0,46273.0,36910.0,50300.5
2011,90304,36732.0,32880.25,32052.25,28673.0,37535.0,38960.0,40377.5,30844.0,37304.0,38695.75
2011,90305,65029.0,54029.5,64440.0,65195.0,62617.0,62460.5,53598.5,65778.0,46467.0,67651.0
2011,90402,135081.0,125912.25,80085.25,216861.0,117065.0,140691.5,130211.5,33295.0,64667.0,152386.0
2011,90403,71184.0,77847.75,67221.75,93552.5,94452.0,52826.0,71195.5,74479.0,44833.0,65102.333333333336
2011,90404,55064.0,55183.0,53171.0,46897.0,68724.0,45322.5,60270.5,32643.0,49301.0,52379.0
2011,90405,77642.0,89820.0,60474.5,84750.0,93308.0,66512.5,84052.0,36528.0,61205.0,58964.333333333336
2011,90501,57261.0,49295.0,33711.0,46149.5,60088.0,55225.0,67348.0,39398.0,42421.0,45335.75
2011,90502,65243.0,51791.75,50239.0,57344.0,76797.0,56026.5,53567.0,61958.0,67333.0,79125.6
2011,90504,71223.0,52739.25,38442.5,63938.0,74188.0,66242.0,76305.0,66569.0,65904.0,78354.2
2011,90710,56565.0,50870.5,60401.0,45022.5,54911.0,57000.5,60898.0,58581.0,50313.0,78892.2
2011,90717,59856.0,42945.25,39639.25,60054.5,67970.0,46492.5,61417.5,53710.0,47440.0,68554.8
2011,90731,49226.0,51755.5,43125.75,37673.0,46931.0,48464.5,55338.5,31935.0,40253.0,56155.6
2011,90732,91979.0,74743.5,70761.0,77393.5,102642.0,80014.5,93663.5,83527.0,78906.0,87822.5
2011,90744,40792.0,36925.5,24238.0,35417.5,38588.0,41934.5,50912.5,50625.0,39505.0,58244.6
2011,90745,69330.0,59962.0,46075.5,65126.5,74120.0,60594.5,57306.5,67724.0,60932.0,73168.2
2011,90802,45094.0,50037.5,42413.75,31415.0,46075.0,39370.5,50455.0,36412.0,41331.0,40688.0
2011,90810,51123.0,38822.25,30114.5,42350.5,48846.0,46092.0,36748.5,42125.0,51333.0,88905.0
2011,90813,30622.0,27594.0,24913.5,26689.0,34412.0,23077.5,30889.5,24360.0,33227.0,29702.6
2011,91011,147481.0,95157.5,62624.75,181563.0,151339.0,138713.0,152868.0,,168875.0,117857.0
2011,91030,84914.0,66836.75,66126.25,67693.5,80506.0,83184.5,94548.5,61750.0,76622.0,74760.75
2011,91040,73260.0,53515.0,50108.75,46643.5,78904.0,62478.0,72174.0,86713.0,54636.0,72885.66666666667
2011,91042,57922.0,53989.75,49686.75,62822.5,62570.0,48269.5,59743.5,112635.0,46489.0,66716.75
