year,zip_code,median_gross_rent
2012,91205,1204.0
2012,91206,1283.0
2012,91214,1581.0
2012,91302,1882.0
2012,91303,1210.0
2012,91304,1185.0
2012,91306,1143.0
2012,91307,
2012,91311,1446.0
2012,91316,1425.0
2012,91321,1282.0
2012,91324,1321.0
2012,91325,1258.0
2012,91326,1677.0
2012,91330,
2012,91331,1231.0
2012,91335,1179.0
2012,91340,1198.0
2012,91342,1300.0
2012,91343,1124.0
2012,91344,1524.0
2012,91345,1289.0
2012,91352,1130.0
2012,91356,1205.0
2012,91364,1741.0
2012,91367,1710.0
2012,91371,
2012,91401,1125.0
2012,91402,1091.0
2012,91403,1500.0
2012,91405,1053.0
2012,91406,1130.0
2012,91411,1155.0
2012,91423,1497.0
2012,91436,
2012,91501,1419.0
2012,91504,1358.0
2012,91505,1418.0
2012,91506,1303.0
2012,91601,1228.0
2012,91602,1345.0
2012,91604,1634.0
2012,91605,1044.0
2012,91606,1073.0
2012,91607,1268.0
2012,91608,
2012,91754,1188.0
2012,91801,1203.0
2012,91803,1146.0
2013,90001,962.0
2013,90002,952.0
2013,90003,1039.0
2013,90004,1064.0
2013,90005,936.0
2013,90006,914.0
2013,90007,1000.0
2013,90008,1016.0
2013,90010,1633.0
2013,90011,978.0
2013,90012,1047.0
2013,90013,587.0
2013,90014,562.0
2013,90015,841.0
2013,90016,1045.0
2013,90017,824.0
2013,90018,966.0
2013,90019,1120.0
2013,90020,1107.0
2013,90021,517.0
2013,90023,978.0
2013,90024,1830.0
2013,90025,1576.0
2013,90026,1070.0
2013,90027,1178.0
2013,90028,1101.0
2013,90029,966.0
2013,90031,963.0
2013,90032,1068.0
2013,90033,891.0
2013,90034,1371.0
2013,90035,1641.0
2013,90036,1791.0
2013,90037,951.0
2013,90038,1037.0
2013,90039,1259.0
2013,90041,1211.0
2013,90042,1125.0
2013,90043,1037.0
2013,90044,968.0
2013,90045,1659.0
2013,90046,1368.0
2013,90047,1021.0
2013,90048,1679.0
2013,90049,1846.0
2013,90056,1506.0
2013,90057,876.0
